name,symbol,sector,ref_ltp,w52_high,w52_low,market_cap_cr,ref_volume,ref_avg_vol_20d
360ONE,NSE:360ONE,Financial Services,1104.1,1273.8,790.5,43444.483192,1253674.0,758061.333333333
3MINDIA,NSE:3MINDIA,Diversified,37315.0,38030.0,25718.15,42035.57139,7761.0,5416.80952380952
ABB,NSE:ABB,Capital Goods,6080.0,6260.0,4637.5,128840.2464,602254.0,508648.428571428
ACC,NSE:ACC,Construction Materials,1590.6,2119.9,1585.1,29894.9991555,173456.0,127199.619047619
ACMESOLAR,NSE:ACMESOLAR,Power,235.05,324.3,172.63,14227.4967677,550867.0,703227.714285714
AIAENG,NSE:AIAENG,Capital Goods,3817.0,4206.1,3001.1,35543.079528,19252.0,50320.7142857142
APLAPOLLO,NSE:APLAPOLLO,Capital Goods,2232.0,2301.4,1365.0,61968.3552,1301696.0,896155.857142857
AUBANK,NSE:AUBANK,Financial Services,953.0,1039.2,478.35,71369.3661145,22827452.0,3620617.38095238
AWL,NSE:AWL,Fast Moving Consumer Goods,189.9,291.2,188.08,24476.0103,1183715.0,1631340.61904761
AADHARHFC,NSE:AADHARHFC,Financial Services,464.95,547.8,367.1,20206.378818,697682.0,511514.285714285
AARTIIND,NSE:AARTIIND,Chemicals,446.45,495.0,338.05,16222.76105,517682.0,1771332.04761904
AAVAS,NSE:AAVAS,Financial Services,1291.0,2234.0,1247.0,10199.685563,176841.0,244687.952380952
ABBOTINDIA,NSE:ABBOTINDIA,Healthcare,26540.0,37000.0,26075.0,56341.5928687,7169.0,7388.95238095238
ACE,NSE:ACE,Capital Goods,882.4,1389.0,775.45,10502.0074265,96511.0,199474.285714285
ADANIENSOL,NSE:ADANIENSOL,Power,1009.0,1067.7,639.45,121209.3538,702337.0,1459475.33333333
ADANIENT,NSE:ADANIENT,Metals & Mining,2157.0,2612.76,1848.0,249886.7662763,1433096.0,1539273.33333333
ADANIGREEN,NSE:ADANIGREEN,Power,944.0,1177.55,758.0,153831.8927204,1156653.0,2594591.04761904
ADANIPORTS,NSE:ADANIPORTS,Services,1519.9,1584.0,1036.5,328673.1694988,1596106.0,2708846.85714285
ADANIPOWER,NSE:ADANIPOWER,Power,140.0,182.7,92.4,54035.717744,8054854.0,19347936.2380952
ATGL,NSE:ATGL,Oil Gas & Consumable Fuels,511.4,798.0,507.05,56244.2827287,208796.0,407012.095238095
ABCAPITAL,NSE:ABCAPITAL,Financial Services,340.4,369.3,149.85,89711.1408,103307555.0,11470296.0
ABFRL,NSE:ABFRL,Consumer Services,66.89,98.76,59.8,8147.3287766,1645884.0,4977985.76190476
ABLBL,NSE:ABLBL,Consumer Services,101.65,175.0,100.86,12391.2744248,489273.0,1166387.42857142
ABREL,NSE:ABREL,Forest Materials,1295.4,2537.9,1186.0,14319.9347998,348193.0,269862.047619047
ABSLAMC,NSE:ABSLAMC,Financial Services,883.5,934.6,556.45,25514.20776,209734.0,399873.714285714
AEGISLOG,NSE:AEGISLOG,Oil Gas & Consumable Fuels,686.0,946.5,639.1,24164.6,257350.0,1010896.04761904
AEGISVOPAK,NSE:AEGISVOPAK,Oil Gas & Consumable Fuels,230.0,302.0,198.0,25358.8341536,436751.0,1477907.14285714
AFCONS,NSE:AFCONS,Construction,290.55,498.7,288.1,10740.49292,1392385.0,459369.19047619
AFFLE,NSE:AFFLE,Information Technology,1374.0,2185.9,1246.0,19422.13625,788986.0,258830.761904761
AJANTPHARM,NSE:AJANTPHARM,Healthcare,2977.0,3054.0,2327.3,37404.48,135776.0,111376.238095238
AKUMS,NSE:AKUMS,Healthcare,490.4,622.95,405.0,7508.1219865,139586.0,331242.809523809
AKZOINDIA,NSE:AKZOINDIA,Consumer Durables,2977.1,3915.5,2658.7,13367.45,283562.0,40520.1428571428
APLLTD,NSE:APLLTD,Healthcare,714.0,1107.9,705.0,14034.60534,114860.0,61812.3333333333
ALKEM,NSE:ALKEM,Healthcare,5614.0,5933.5,4491.65,67123.791,131566.0,144122.857142857
ALKYLAMINE,NSE:ALKYLAMINE,Chemicals,1491.0,2438.8,1474.0,7591.312,36822.0,35697.7142857142
ALOKINDS,NSE:ALOKINDS,Textiles,14.33,23.5,14.0,7115.1888821,3414914.0,5411757.9047619
ARE&M,NSE:ARE&M,Automobile and Auto Components,847.4,1109.0,810.1,15464.73,213318.0,326177.142857142
AMBER,NSE:AMBER,Consumer Durables,7970.0,8626.0,5400.5,28047.75302,272476.0,409122.666666666
AMBUJACEM,NSE:AMBUJACEM,Construction Materials,499.95,624.95,455.0,109993.0535762,2428507.0,1835177.42857142
ANANDRATHI,NSE:ANANDRATHI,Financial Services,3060.5,3321.4,1594.0,25536.32,262040.0,159903.142857142
ANANTRAJ,NSE:ANANTRAJ,Realty,529.5,743.65,376.15,18240.1141375,1633800.0,4093588.0
ANGELONE,NSE:ANGELONE,Financial Services,232.9,328.5,194.1,2109.3986076,8282159.0,1635123.28571428
APARINDS,NSE:APARINDS,Capital Goods,11110.0,11648.0,4308.05,44926.1814447,447170.0,167080.0
APOLLOHOSP,NSE:APOLLOHOSP,Healthcare,7818.0,8099.5,6001.0,112480.7672175,698131.0,452957.38095238
APOLLOTYRE,NSE:APOLLOTYRE,Automobile and Auto Components,453.7,540.5,370.9,28819.3495925,992981.0,1154177.42857142
APTUS,NSE:APTUS,Financial Services,244.5,364.0,234.4,12242.91207,659563.0,1524505.14285714
ASAHIINDIA,NSE:ASAHIINDIA,Automobile and Auto Components,890.7,1074.0,576.8,22085.9343002,247826.0,71574.2857142857
ASHOKLEY,NSE:ASHOKLEY,Capital Goods,211.8,215.42,95.93,123979.8146546,13962660.0,16085259.2857142
ASIANPAINT,NSE:ASIANPAINT,Consumer Durables,2375.2,2985.7,2124.75,227725.6137875,2531619.0,1140736.57142857
ASTERDM,NSE:ASTERDM,Healthcare,656.0,732.2,387.1,33911.02784,630633.0,863917.380952381
ASTRAZEN,NSE:ASTRAZEN,Healthcare,8860.0,10691.0,6620.1,22122.5,3340.0,6943.80952380952
ASTRAL,NSE:ASTRAL,Capital Goods,1670.0,1693.9,1232.3,44758.8836171,730263.0,680315.761904761
ATHERENERG,NSE:ATHERENERG,Automobile and Auto Components,710.1,790.0,288.15,27180.2515959,1409206.0,1789171.95238095
ATUL,NSE:ATUL,Chemicals,6635.0,7788.0,4752.0,19534.601125,38087.0,27701.0476190476
AUROPHARMA,NSE:AUROPHARMA,Healthcare,1220.0,1278.6,1010.0,70881.03,1781292.0,2536777.09523809
AIIL,NSE:AIIL,Financial Services,481.55,829.68,331.38,40894.4481003,991650.0,341905.904761904
DMART,NSE:DMART,Consumer Services,3855.0,4949.5,3340.0,250134.16227,478983.0,339704.238095238
AXISBANK,NSE:AXISBANK,Financial Services,1384.0,1418.3,992.0,429069.7425652,5840317.0,6059105.76190476
BASF,NSE:BASF,Chemicals,3465.0,5424.0,3421.0,14936.2583097,22699.0,21805.8095238095
BEML,NSE:BEML,Capital Goods,1679.0,2437.4,1175.0,13984.221421,266816.0,305378.714285714
BLS,NSE:BLS,Consumer Services,279.0,428.6,245.95,11478.6541522,1412992.0,5718359.33333333
BSE,NSE:BSE,Financial Services,2709.9,3227.0,1227.33,110259.9,4830334.0,5534271.71428571
BAJAJ-AUTO,NSE:BAJAJ-AUTO,Automobile and Auto Components,9955.5,10187.0,7089.35,278003.853075,231926.0,257508.619047619
